!_OSCILLOSCOPE PARAMETERS_
!
	!_CHANNEL SETTINGS_
	!Position: 
	!CH1:0.0000
	!Scale:
 	!CH1:50.0000E-3
	!Bandwidth:
	!CH1:33.0000E+9
	!_END CHANNEL SETTINGS_
!
	!_HORIZONTAL SCALE_
	!Sampling Frequency: 125.0000E+6
	!Epoch: 500
	!_END HORIZONTAL SCALE_
!
	!_TRIGGER_
 	!Source: CH1
	!Level: -3.0000E-3
	!Slope: RIS
	!Coupling: DC
	!_END TRIGGER_
!
 	!_MODE_
	!Sampling Mode: IT
	!Acquisition Mode: SAM
	!_END MODE_
!
3.712000E-6	0.152000
3.720000E-6	0.154000
3.728000E-6	0.146000
3.736000E-6	0.146000
3.744000E-6	0.152000
3.752000E-6	0.148000
3.760000E-6	0.152000
3.768000E-6	0.150000
3.776000E-6	0.146000
3.784000E-6	0.154000
3.792000E-6	0.152000
3.800000E-6	0.154000
3.808000E-6	0.146000
3.816000E-6	0.150000
3.824000E-6	0.152000
3.832000E-6	0.152000
3.840000E-6	0.152000
3.848000E-6	0.150000
3.856000E-6	0.152000
3.864000E-6	0.152000
3.872000E-6	0.154000
3.880000E-6	0.148000
3.888000E-6	0.150000
3.896000E-6	0.152000
3.904000E-6	0.112000
3.912000E-6	-0.160000
3.920000E-6	-0.158000
3.928000E-6	-0.156000
3.936000E-6	-0.162000
3.944000E-6	-0.156000
3.952000E-6	-0.158000
3.960000E-6	-0.158000
3.968000E-6	-0.154000
3.976000E-6	-0.158000
3.984000E-6	-0.148000
3.992000E-6	-0.158000
4.000000E-6	-0.156000
4.008000E-6	0.000000
END
